"","x"
"1",0.965936579582588
"2",0.0166666704007502
"3",0.0173967500166615
"4",0.00156033996262531
"5",0.0016236966710676
"6",0.000169283378087466
"7",0.0242586626286123
"8",0.0247195106511287
"9",0.00535321044763832
"10",0.899572861887989
"11",0.000368855440404303
"12",0.00795132740074499
"13",0.98568311408477
"14",0.0822528075019868
"15",0.027974761926958
"16",241.710349457662
"17",231.776786800152
"18",1000
"19",1.006681732065
"20",1.0069285007823
"21",0.998476210932022
"22",0.9751066671657
"23",0.0171015988525176
"24",0.0077917339817821
